frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
104.7,CFRI-FM,AB,Grande Prairie,100.0,55.24194444444444,-118.56194444444444,152.5,C,2DAY FM HIT MUSIC,Vista Radio Ltd.                        ,CAN,Contemporary Hit Radio,,,,Oilers,,
94.3,CFXE-FM,AB,Edson,20.0,53.646388888888886,-116.54166666666669,42.5,B,REAL COUNTRY WEST,Stingray Radio Inc                      ,CAN,Country,,,,Oilers,,
93.3,CFXG-FM,AB,Grande Cache,0.19,53.88666666666666,-119.11055555555556,14.3,A1,REAL COUNTRY WEST,Stingray Radio Inc                      ,CAN,Country,,,,Oilers,,
96.7,CFXW-FM,AB,Whitecourt,9.9,54.03472222222222,-115.71555555555555,91.4,C1,BOOM 96.7,Stingray Radio Inc                      ,CAN,Classic Hits,,,,Oilers,,
88.1,CHLK-FM,ON,Perth,5.4,44.909444444444446,-76.28083333333333,99.0,A,LAKE 88.1,My Broadcasting Corporation             ,CAN,Soft AC,,,,Senators,,
98.5,CHMP-FM,QC,Longueuil,100.0,45.50555555555555,-73.59166666666667,111.5,C1,98.5 FM,Cogeco Média Acquisitions Inc.          ,CAN,News,,,,Canadiens,,
92.7,CHSL-FM,AB,Slave Lake,5.0,55.47166666666667,-114.78583333333331,79.3,B,BOOM 92.7,Stingray Radio Inc                      ,CAN,Classic Hits,,,,Oilers,,
100.1,CJCD-FM,NT,Yellowknife,0.4,62.453611111111115,-114.37027777777776,55.5,A,TRUE NORTH FM,Vista Radio Ltd                         ,CAN,Classic Hits,,,,Oilers,,
94.5,CJFO-FM,ON,Ottawa,2.0,45.503055555555555,-75.85027777777778,219.0,B1,,La Radio communautaire francoph         ,CAN,Community Radio,,,,Senators,,
97.5,CJKR-FM,MB,Winnipeg,93.9,49.730555555555554,-97.19944444444444,190.5,C,POWER 97,Corus Radio Inc.                        ,CAN,Adult Alternative,,,,Winnipeg Jets,,
94.1,CKBA-FM,AB,Athabasca,9.0,54.70388888888889,-113.28972222222222,91.4,B1,BOOM 94.1,Stingray Radio Inc                      ,CAN,Classic Hits,,,,Oilers,,
101.9,CKKY-FM,AB,Wainwright,50.0,52.994166666666665,-110.53444444444445,152.4,C1,BOOM 101.9,Stingray Radio Inc                      ,CAN,Classic Hits,,,,Oilers,,
93.5,CKVH-FM,AB,High Prairie,29.0,55.54111111111111,-116.12055555555555,115.2,B,REAL COUNTRY 93.5,Stingray Radio Inc                      ,CAN,Country,,,,Oilers,,
92.1,K221GU,MN,CROOKSTON,0.25,47.93136111111111,-97.04313888888888,55.0,D,KROX 105.7 FM & 1260 AM,GOPHER COMMUNICATIONS COMPANY,USA,Adult Contemporary,Twins,Vikings,Timberwolves,Wild,Grand Forks,"78,200"
92.9,K225DF,CA,NEEDLES,0.25,35.098083333333335,-114.52630555555557,31.0,D,K-TOX 13-40 AND 104.1,"RUBIN BROADCASTING, INC.",USA,Talk,Angels,,,Golden Knights,,
93.1,K226CA,MN,DETROIT LAKES,0.25,46.83719444444445,-95.8381111111111,91.0,D,KDLM-AM 1340 AM - 93.1 FM - 96.9 FM,"LEIGHTON ENTERPRISES, INC.",USA,Classic Hits,Twins,Vikings,Timberwolves,Wild,,
93.1,K226CV,MN,GRAND RAPIDS,0.25,47.33938888888889,-93.39686111111112,125.0,D,ALL CLASSICS ALL THE TIME AM 1320 - 93.1 FM,Rapids Radio LLC,USA,Oldies,Twins,,Timberwolves,Wild,,
93.1,K226DA,CO,YUMA,0.25,40.02444444444444,-102.66666666666669,84.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
93.5,K228FX,MO,CAPE GIRARDEAU,0.25,37.35944444444445,-89.6211111111111,76.0,D,SOUTHEAST MISSOURI ESPN,MRR LICENSE LLC,USA,Sports,,,,Blues,,
93.5,K228FZ,CO,STERLING,0.25,40.5325,-103.12327777777776,52.0,D,FARM RADIO,NORTHEAST COLORADO BROADCASTING LLC,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
93.7,K229DJ,MN,WALKER,0.25,47.078833333333336,-94.59055555555555,74.0,D,FOX SPORTS RADIO,"De La Hunt Media, Inc.",USA,Sports,,,,Wild,,
94.1,K231CV,ND,FARGO,0.25,46.819138888888894,-96.76591666666668,94.0,D,THE MIGHTY 790 AM/94.1 FM/104.7 FM,"MIDWEST COMMUNICATIONS, INC.",USA,Talk,Twins,Vikings,,Wild,Fargo-Moorhead,"216,700"
94.3,K232AD,CO,ROARING FORK,0.034,39.423027777777776,-107.3758611111111,21.0,D,,PITKIN COUNTY TRANSLATOR DEPARTMENT,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
95.3,K237FK,CO,DURANGO,0.04,37.36277777777778,-107.79422222222222,10.0,D,,FOUR CORNERS BROADCASTING LLC,USA,,,Broncos,,Avalanche,,
95.7,K239CU,MO,SALEM,0.25,37.625416666666666,-91.53483333333332,59.3,D,YOUR OZARK INFORMATION SOURCE,KSMO Media LLC,USA,News,Cardinals,,,Blues,,
96.3,K242AV,CO,THOMASVILLE,0.01,39.35330555555556,-106.68391666666668,8.0,D,,PITKIN COUNTY TRANSLATOR DEPARTMENT,USA,Talk,Rockies,Broncos,Nuggets,Avalanche,,
96.5,K243CQ,MN,HUTCHINSON,0.25,44.906638888888885,-94.36663888888889,58.0,D,CLASSIC HITS KDUZ,"IOWA CITY BROADCASTING COMPANY, INC.",USA,Classic Hits,,,,Wild,,
96.9,K245CU,MN,DETROIT LAKES,0.25,46.721916666666665,-95.84394444444445,122.0,D,KDLM-AM 1340 AM - 93.1 FM - 96.9 FM,"LEIGHTON ENTERPRISES, INC.",USA,Classic Hits,Twins,Vikings,,Wild,,
96.9,K245DK,CA,NAPA,0.012,38.26422222222222,-122.28177777777778,5.5,D,MEGA MIX 1440 / 96.9,"WINE DOWN MEDIA, LLC",USA,Variety,,,,Sharks,San Francisco,"6,737,900"
97.1,K246CW,MN,FAIRMONT,0.25,43.62916666666667,-94.48361111111112,97.0,D,AG-COUNTRY 1370 AM,"CITY OF LAKES MEDIA, INC.",USA,Country,Twins,,,Wild,,
97.3,K247CU,MN,NEW ULM,0.25,44.26497222222222,-94.43080555555557,98.0,D,KNUJ AM 860 + 97.3,"INGSTAD BROTHERS BROADCASTING, LLC",USA,Talk,Twins,,,Wild,,
97.5,K248AE,CO,MONTROSE,0.01,38.38777777777778,-107.67505555555556,30.0,D,ESPN 1450AM/97.5 FM MONTROSE,"CIMARRON COMMUNICATIONS CO., LLC",USA,Sports,,,Nuggets,Avalanche,,
97.7,K249EQ,UT,ST. GEORGE,0.075,37.06366666666666,-113.57441666666666,10.6,D,ESPN 97.7,"Townsquare License, LLC",USA,Sports,,Raiders,,Golden Knights,,
98.1,K251BH,SD,SIOUX FALLS,0.25,43.503055555555555,-96.57722222222222,200.0,D,ALL SPORTS RADIO,"MIDWEST COMMUNICATIONS, INC.",USA,Sports,,Vikings,,Wild,Sioux Falls,"235,900"
98.5,K253CJ,NV,ELY,0.25,39.26430555555555,-114.86491666666666,9.0,D,NEVADA TALK NETWORK,"ELY RADIO, LLC",USA,Talk,,,,Golden Knights,,
98.5,K253CL,MN,THIEF RIVER FALLS,0.25,48.129694444444446,-96.18669444444444,52.0,D,REAL COUNTRY 1460,"IOWA CITY BROADCASTING COMPANY, INC.",USA,Country,,,,Wild,,
98.7,K254CO,CO,SILT,0.25,39.51163888888889,-107.74977777777778,25.0,D,95.7 THE MONKEY,"MBC GRAND BROADCASTING, INC.",USA,Oldies,,Broncos,Nuggets,Avalanche,,
98.9,K255CT,NV,HENDERSON,0.099,36.14736111111111,-115.1555,291.0,D,FOX SPORTS RADIO 98.9/1340,LOTUS BROADCASTING CORP.,USA,Sports,,,,Golden Knights,Las Vegas,"1,999,500"
99.3,K257FX,WA,SPOKANE,0.099,47.59294444444445,-117.29713888888888,70.0,D,KIX 99.3,iHeartMedia,USA,Country,,,,Kraken,Spokane,"613,000"
99.7,K259CW,MN,FOSSTON,0.25,47.56330555555555,-95.72502777777778,49.0,D,,"R&J BROADCASTING, INC.",USA,Talk,,,Timberwolves,Wild,Grand Forks,"78,200"
100.3,K262AR,MN,WORTHINGTON,0.25,43.62997222222222,-95.67833333333334,126.0,D,THE FAN 730,"ABSOLUTE COMMUNICATIONS II, LLC",USA,Sports,Twins,Vikings,Timberwolves,Wild,,
101.1,K266CE,CO,GRAND JUNCTION,0.099,39.06636111111111,-108.7453888888889,33.0,D,THE TEAM - SPORTS 1340,"MBC GRAND BROADCASTING, INC.",USA,Sports,Rockies,Broncos,Nuggets,Avalanche,,
